	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	ZT	ZT	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	ZT	ZT	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	R	R	R	R	R	R	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	R	R	R	R	R	R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	-1	-1	ZL	ZL	I3	I3	ZR	ZR	-1	-1	-1	-1	-1	-1	ZL	ZL	R	R	R	R	R	R	ZR	ZR	-1	-1	-1	-1	-1	-1	ZL	ZL	I3	I3	ZR	ZR	-1	-1	-1	-1	ZL	ZL	I3	I3	ZR	ZR	-1	-1	-1	-1
7	-1	-1	ZL	ZL	I3	I3	ZR	ZR	-1	-1	-1	-1	-1	-1	ZL	ZL	R	R	R	R	R	R	ZR	ZR	-1	-1	-1	-1	-1	-1	ZL	ZL	I3	I3	ZR	ZR	-1	-1	-1	-1	ZL	ZL	I3	I3	ZR	ZR	-1	-1	-1	-1
8	0	0	0	0	ZB	ZB	0	0	0	0	0	0	0	0	0	0	R	R	R	R	R	R	0	0	0	0	0	0	0	0	0	0	ZB	ZB	0	0	0	0	0	0	0	0	ZB	ZB	0	0	0	0	0	0
9	2	2	2	0	ZB	ZB	0	P	P	P	P	P	P	P	P	P	R	R	R	R	R	R	P	P	P	P	P	P	P	P	P	0	ZB	ZB	0	P	P	P	P	P	P	0	ZB	ZB	0	P	P	P	P	P
